201|200|Павел|15.07.2015|Скажите, у меня треснул тачскрин на megafon login+ есть ли он в наличии в отделении м. Новогиреево? сколько стоит без замены и можно ли его заказать и каковы сроки?|В данный момент в наличии нет. Но бывают.|user201@mail.ru
202|200|Алексей|14.07.2015|Здравствуйте. На телефоне ZTE Geek2 не загорается экран, но на прикосновения реагирует. У вас можно починить?|Конечно можно. Приносите.|user202@mail.ru
203|200|Леонид|13.07.2015|Добрый день! Ремонтировал nexus 5 в мастерской на Кузьминках, не работал микрофон, в конце июня, мастер что-то поменял, но микрофон снова отключился через пару дней. Были в отпуске, а приехав, не могу обратиться по гарантии, мастерская ваша закрыта, контактов нет. Кто и как будет покрывать мою гарантию, доделывать мой телефон? Могу ли обратиться в мастерскую на Проспекте Мира?| |user203@mail.ru
204|200|Роман|13.07.2015|Добрый день! Имеется телефон Huawei Honor 6, в момент зарядки, в разъем на телефоне попала вода. Сразу отключили телефон, появился запах гари. Какое время телефон лежал выключенным, затем его включили, телефон работает, но больше не заряжается и не постоянно видит сим карты (иногда видит обе, иногда только одну). Хотелось бы унать можно ли его отремонтировать и сколько приблизительно это буде стоить? Заранее спасибо.|Контроллер питания скорее всего сгорел. 3500|user204@mail.ru
205|200|Мадина|09.07.2015|Добрый день!Fly Модель: BL3815? Телефон включается экран работает, но не реагирует на команды. Что случилось, подлежит ремонту, сколько стоит услуга?|Сделаем.|user205@mail.ru
206|200|Сергей|09.07.2015|Уронил телефон Нокия 920, стекло пошло трещинами но все работает. Сколько стоит ремонт и где это можно сделать?|Легко и просто. Ценник указан на сайте.|user206@mail.ru
207|200|николай|09.07.2015|Добрый день нужен корпус на мобиадо профессионал ЕМ|Корпуса нет, можно найти стекло.|user207@mail.ru
208|200|Алла Юрьевна|09.07.2015|"Доброе утро! Мне нужно отремонтировать Nokia 95 8gb, скорее всего повреждён шлейф, хотелось бы заменить корпус (имеется оригинальный корпус). Возможно ли это сделать в любом из ваших подразделений или только в каком-то определённом? Меня интересуют конкретно отделения у "" Павелецкой"" и ""Новокузнецкой""?С уважением, А.Ю. Клещёва"|Есть хороший корпус но не оригинал и шлейф. Все вместе с заменой 2000.|user208@mail.ru
209|200|Андрей|06.07.2015|Здрасти! На фотоаппарате Canon - ошибка объектива, объектив не работает - заклинило, выдвинулся а обратно на половину зашнл и не работает. Скоко стоит|3500|user209@mail.ru
210|210|Герман|15.06.2015|Есть ли возможность срочно заменить стекло на Nokia 808 через курьера. Продолжительность и общая стоимость?|2000 +курьерские. За день.|user210@mail.ru
