801|800|Роман|26.01.2011|Подскажите сколько будет стоить прошить тел. Samsung L 770?|Смена ПО 800 руб.|user801@mail.ru
802|800|Сергей|25.01.2011|Sony Erisson X1 разрядился в ноль и не заряжается!| |user802@mail.ru
803|800|Кирилл|24.01.2011|Добрый день, требуется замена корпуса на Nokia N91.(клавиши можно оставить старые). Сколько будет стоить работа, есть ли корпус на складе? С уважением Кирилл.|Работа по замене 800-1000 руб. в зависимости от качества. У нас такого корпуса на складе нет.|user803@mail.ru
804|800|Янка|24.01.2011|Здраствуйте,мой телефон пролежал ночь в сугробе,он сенсорный..сенсор не работает,что делать?| |user804@mail.ru
805|800|Лариса|24.01.2011|Не держится задняя крыщка тел. Самсунг-флер. Ремонт возмлжен?| |user805@mail.ru
806|800|Денис|22.01.2011|eten x650. После погружения в ванну сразу его разобрал, продул и просушил в течении суток. После включения сутки работал нормально, на следующий день отключились внешний и внутренний динамики. Все остальное работает.| |user806@mail.ru
807|800|Юрий|22.01.2011|Доброго времени суток! Можете перепрошить китайский айфон 4 на Android?|Только что если на китайский андройд. |user807@mail.ru
808|800|Маргарита|20.01.2011|Сколько будет стоить замена прошивки на sony ericson W595 и сколько времени на это.| |user808@mail.ru
809|800|Артём|04.01.2011| Здравствуйте!	У меня сломался мой SE W705. Поломка заключается вот в чём: не работает подсветка экрана. Все остальные функции телефона прекрасно функционируют. Но, когда включается телефон, если держать нажатой клавишу включения подсветка работает несколько секунд.  Иногда, в процессе работы подсветка включается на несколько секунд. Этот дефект произошел на следующий день после падения экраном вниз, в раскрытом состоянии. Перепрошивал телефон - не помогло. Со шлейфом я думаю, должно быть всё в порядке, все функции телефона работают, экран в их числе. Я думаю, что сломались   стекляхи  . Сколько стоит заменить их, или причина в другом? |Замена стекляхи 900 руб, может быть еще обрыв дорожек платы, мы и это сможем сделать, но тогда стоить будет 1200 руб.|user809@mail.ru
810|810|Дмитрий|04.01.2011|Здравствуйте! Можно ли заменить тачскрин на GSmart 1205? Сколько по времени и по деньгам?|К сожалению не помню размер тачскрина на 1205, надо приносить и будем подбирать, обязательно подберем цена вопроса 1800-2100. |user810@mail.ru
811|810|dilik|04.01.2011|здравствуйте замена акулятора в айфона 3gs сколько будет стоит?|Вместе с заменой обойдется в 1500 руб. Делается за 50 минут. |user811@mail.ru
812|810|Илья|03.01.2011|Скажите пожалуйста... Сколько будет стоить, заменить сенсор на китайском телефоне,Айфон Т2000?| |user812@mail.ru
813|810|Дмитрий|30.12.2010|HTC MAX 4G после сброса настроек не калибруется экран и запуск телефона дальше этой операции не идет.можете ли вы помочь?ударов не было,программ не грузил,в воду не ронялВозможно потребуется замена сенсорного стекла 3400 руб. А может быть проклейка сенсорного стекла 1800 руб. Замена ПО 1200 руб. Диагностика бесплатно.| |user813@mail.ru
814|810|Максим|30.12.2010|У меня такая проблема , дело в том что PSP сломался , загарелся красный экран с надписью (ошибка,обратитесь туда где вы его покупали) и после этого он не включается.Мы обращались ,нам сказали что дело в самой плате.Сможите ли вы его починить ? и за сколько?|Цена зависит конкретно от модели PSP. Надо делать диагностику, она бесплатная в течении часа.   |user814@mail.ru
815|810|Елена|28.12.2010|У меня телефон LG KP500 упал в воду. сколько стоит его починить?|Восстановление КР500 после воды будет стоить от 700 руб(в зависимости от повреждений). Точную цену можно будет назвать после бесплатной диагностики.|user815@mail.ru
816|810|Михаил Морозов|25.12.2010|Уважаемые Господа!Московский Клуб инвалидов-опорников  поздравляет Вас с наступающим Новым Годом, желает  Вам здоровья, душевного и телесного,  любви, счастья, доброты и производственных успехов, и обращается со скромной просьбой: не могли бы Вы рассмотреть вопрос о возможности  ремонта презентованного нам недавно телефона IPHONE (не включается и не заряжается).Спасибо.С уважением,Михаил Морозов, техн. директор(905) 55 22 153moscovit@rinet.ru| |user816@mail.ru
817|810|Василий|24.12.2010|Здравствуйте.Телефон - Nokia 8800 Arte (копия)Проблема - белый экран. Телефон работает, включается/выключается, звук есть, звонки проходят. В общем все функции телефона работают, но экран просто светится белым.Что это может быть ?Сколько будет стоить ремонт ?Возможно ли его отремонтировать на Пролетарской ?|Возможно замена шлейфа, ремонт будет стоить 1800 руб. Диагностика бесплатно. |user817@mail.ru
818|810|Михаил|24.12.2010|Sony Ericsson K790i - при подключении зарядного устройства не всегда происходит контакт. каковы цена и сроки ремонта?|Возможно потребуется чиска системного разъема 500 руб., а возможно замена разъема 700 руб.|user818@mail.ru
819|810|аня|23.12.2010|сколько будет стоить ремонт экрана на нокиа 5250 сенсор целый. телефон вышел недавно|Замена дисплея на нокия 5250 стоит 2800 руб.|user819@mail.ru
820|820|Алексей|20.12.2010|Здравствуйте.Хочу поменять на nokia n 95 (серебряный) корпус и клавиатуру. Есть ли эти запчасти у вас в наличии и сколько будет стоить вместе с работой. Спасибо.|Замена корпуса и клавиатуры 2200 руб.|user820@mail.ru
821|820|Денис|19.12.2010|Сколько будет стоить замена шлейфа на телефоне LG KF300? (при полном раскрытии изображение плывет или исчезает, при открытии на 90 градусов все работает нормально).Дается ли гарантия на работу?|Замена шлейфа 1200 руб. В течении часа. Гарантия месяц.|user821@mail.ru
822|820|Наталья|19.12.2010|В китайском телефоне nokia x6 треснуло сенсорное стекло,Дисплей не вредим...Сколько будет стоить замена,и сколько это займет времени???|Многие модели китайского X6 внешне схожие, но при этом сенсорные стекла могут отличаться модификацией. Замена сенсорного стекла приблизительно 2000 руб.|user822@mail.ru
