0|0|Ольга|14.11.2018|Добрый день!Подскажите, пожалуйста, какой тип разъема (гнезда) зарядки используется в модели Leagoo Alfa 5?|В модели Leagoo Alfa 5 используется разъем micro usb|user0@mail.ru
1|0|Илья|10.11.2018|Здравствуйте, я живу в Израиле, могу ли я отправить вам по почте свою электронную книгу - Pocketbook 641 aqua 2, для Замены дисплея. И вы вернете ее в мою страну таким же образом, по почте ? Конечно, оплата будет соответственно. Спасибо|Нет не возьмемся|user1@mail.ru
2|0|Юр.лицо|29.10.2018|Организации нужна замена экрана телефона Xiaomi Redmi 4A. Можем оплатить только по безналу, через выставления счета. Это возможно?|Да возможно. Стоимость 2800 руб.|user2@mail.ru
3|0|Константин|24.10.2018|Здраствуйте телефон xiaomi redmi note 5a prime разбит экран тачкрин работает. Сколько будет стоить ремонт? и по времени сколько?|Замена дисплея xiaomi redmi note 5a prime стоит 2900 руб. Если обратится в любой из наших сервисов (сдать аппарат в ремонт) до 13.00, то в этот же день вечером ваш девайс будет отремонтирован.|user3@mail.ru
4|0|Сергей|17.10.2018|Приветствую ! Треснуло стекло на Redmi 4X . Подскажите стоимость и продолжительность ремонта .(могу подъехать на электрозаводскую)|Замена дисплея на Xiaomi Redmi 4x стоит 2700 руб. Если до 13.00 сдадите к нам в сервис, то в этот же день вечером аппарат будет отремонтирован.|user4@mail.ru
5|0|Елена|13.10.2018|"Здравствуйте.Уже обращалась в ваш сервис. Осталась довольна работой. Надеюсь, вы сможете мне помочь и на этот раз. Опишу ситуацию.Мой телефон Nokia E52 (был заряжен и нормально работал весь день) лежал на диване, когда на него со всего маха прыгнул кот. Экран ""вспыхнул"" на секунду - и и всё! Телефон не включается и не заряжается. Пробовала вынимать батарею и вставлять снова, это не помогает. ЗАМЕЧУ, ЧТО Я ТОЛЬКО НЕДАВНО КУПИЛА ЕГО, как бы НОВЫЙ. Почему ""как бы"", потому что теперь я не уверена в этом. Мой прежний телефон исправно служил мне больше 5-ти лет.Скажите, возможно ли мне помочь? Наверно, сначала потребуется диагностика. Сколько это будет стоить, хотя бы примерно?"|Лучше всего обратиться в офис на Павелецкой. Вероятнее всего проблема в процессоре. Возможно поможет его пропайка 1500 руб. Диагностика бесплатная.|user5@mail.ru
6|0|Антгн|29.08.2018|Здравствуйте,у меня телефон BQ 5202 space lite,с разъемом что то не так приходится, подскажите сколько стоит замена с разъемом|Замена разъема зарядки micro usb для BQ 5202 space lite стоит 1400 рублей в течение часа|user6@mail.ru
7|0|Никита|28.08.2018|Сколько будет стоить ремонт микрофона sonyXperia M4 Aqua Dual (E2312)? Собеседник меня не слышит. Диагностику микрофон не проходит, хотя, если просто стучать по аппарату пальцем, то тест проходит (звук ударов слышен хорошо на записи).|Замена микрофона на sony Xperia M4 Aqua Dual (E2312) стоит 1500 руб|user7@mail.ru
8|0|Анатолий|21.08.2018|День добрый! Нужна батарейка для Leagoo V 1. Есть ли у Вас в наличиии? Цена?|Аккумулятора на Leagoo V1 в наличии нет|user8@mail.ru
9|0|Марина|16.08.2018|Скажите пожалуйста, есть ли у вас в наличии запчасти для ремонта моего устройства - Oukitel U11 plus? Если - ДА, то я Вам отправлю его на платный ремонт. в гарантии обслуживающая организация отказала. см. ниже.Вторник, 10 июля 2018, 11:57 +03:00 от Service :телефон сначала стал перезагружаться самостоятельно и нагревалась сильно батарея. далее батарея нагревалась и неполадки в её заряжении. потом телефон лежал на поверхности стола и его никто не трогал. трещины появились перед отправкой в СЦДобрый день.   В процессе диагностики инженером обнаружены следы механического воздействия,  разбит дисплейный модуль,  фото прилагается.  К сожалению, это не гарантийный случай,  устройство подлежит возврату. ||user9@mail.ru
10|10|Алина|20.07.2018|Здравствуйте, какая у вас цена стоимости замены термопасты на Acer E5-576G-79QTI7? Можете ответить на почту?|Замена термопасты на Acer E5-576G-79QTI7 будет стоить 3000 руб.|user10@mail.ru
11|10|Алексей|19.07.2018|Здравствуйте, на хуавей р20 лайт треснуло стекло. Сколько будет стоить замена и как быстро можно сделать?| |user11@mail.ru
12|10|Денис|02.07.2018|Здравствуйте, интересует стоимость переклейки стекла на Huawei p10 lite черный, с запчастью и срок исполнения?|На данной модели Huawei стекло отдельно не меняется. Замена дисплейного модуля на Huawei P10 Lite стоит 3000 руб. Но если вы все-таки хотите поменять только стекло, то сделаем за 3500 руб.(т.к. работа гораздо сложнее)|user12@mail.ru
13|10|Алексей|25.06.2018|Добрый день. У меня 2 вопроса1. Сколько будет стоит замена разьема для зарядки на смортфоне    самсунг нот 4 и сколько это займет по времени (есть ли срочная замена услуга)?2. Сколько будет стоит перепрошить планшет самсунг TAB2 (GT-P1000)? и сколько по времени? и можно ли в срочном порядке?||user13@mail.ru
14|10|Денис|21.06.2018|CUBE iwork1x - сколько стоит замена тачскрина?|На данную модель у нас нет тачскрина|user14@mail.ru
15|10|светлана|18.06.2018|Добрый день. Необходимо заменить дисплей на iphone6, подскажите сколько будет стоить работа  и сам дисплей? и сколько времени займет ремонт?? Хочу сдать телефон на бауманской| |user15@mail.ru
16|10|Александр|13.06.2018|Здравствуйте. Скажите пожалуйста сколько будет стоить разблокировать мейзу м3с? И заменить экран.|Замена дисплея Meizu M3S стоит 2800 руб. Разблокировка от 800 руб.|user16@mail.ru
17|10|Наталья|03.06.2018|Добрый день, можно ли поменять стекло на телефон LeEco le x527, сколько стоит и время выполнения работ|Замена дисплейного модуля на LeEco Le2 X527 стоит 3000 рублей. Если сдадите свой смартфон в любой из наших сервисов до 13.30, то в этот же день ближе к вечеру смартфон будет отремонтирован.|user17@mail.ru
18|10|Карина|18.05.2018|Добрый день. ремонтинтируете ли вы Sony Playstation 2?|Смотря в чем неисправность. Звоните|user18@mail.ru
19|10|Батыр|13.05.2018|BQ-5059на экране надпись обьём памяти недостачен.и не как не убирается,чтобы удалить что нибуть.|Сделайте сброс с потерей всех данных|user19@mail.ru
20|20|Григорий|15.04.2018|Добрый день. Подскажите сколько примерно будут стоить ремонты материнских плат на телефонах: Alcatel OT4007D, и Jinga A400?|Так сложнл ответить. Необходимо владеть информацией, что случилось с аппаратами. Диагностика бесплатная. Можете позвонить и проконсультироваться по телефону|user20@mail.ru
21|20|алексей|13.04.2018|Добрый день, хотелось бы узнать, выполняете ли вы замену флеш памяти (64gb) на планшетах? А именно xiaomi mipad 3, имеется ли у вас программатор? Цена работы? Заранее спасибо|Такой ремонт мы осуществить не можем.|user21@mail.ru
22|20|Ксения|11.04.2018|Здравствуйте!Сколько будет стоить замена стекла(или полностью дисплея) на Xiaomi Redmi 4x? И сколько это займет времени?Спасибо!|Замена дисплейного модуля на Xiaomi Redmi 4X стоит 2800 руб. Если до 13.30 сдать, то в этот же день вечером будет выполнен ремонт|user22@mail.ru
23|20|Дмитрий|19.03.2018|bq 5503 нужен сенсор и дисплей|На данную модель у нас нет таких запчастей|user23@mail.ru
24|20|Виктория|19.03.2018|Добрый день. Подскажите пожалуйста стоимость и время замены стекла и кнопки включения на Samsung galaxy a5|У Samsung Galaxy A5 три разные модели: a500, a510, a520. Стоимость замены разная для каждой модели. Средняя стоимость замены стекла Samsung Galaxy A5 от 2500 - 3500 руб. Кнопка включения Samsung Galaxy A5 1000 - 1500 руб.|user24@mail.ru
25|20|Человек|18.03.2018|Добрый день. Roverpad pro q10 lte поврежден usb. Стоимость ремонта?|Замена разъема зарядки usb на Roverpad pro q10 lte 1500 руб.|user25@mail.ru
