100|100|Екатерина|04.05.2016|Добрый день! Сколько будет стоить замена основной камеры на Lenovo Vibe Z (работа+запчасти)?|1700|user100@mail.ru
101|100|Евгения|22.04.2016|Здравствуйте. Телефон Nokia 3600 slide, темно-красный цвет. Нужна замена верхнего блока клавиатуры. Есть ли у вас оригинальна клавиатура (неоригинальная очень хрупкая, нет уверенности в стабильно работе)подходящего цвета? Какая стоимость?| |user101@mail.ru
102|100|павел|21.04.2016|добрый день! производите ли вы ремонт разъема тачскрина на плате (lenovo s660)? Если да то какая стоимость от и до|1500.|user102@mail.ru
103|100|Максим|20.04.2016|Fly IQ4512Quad Замена дисплея цена и время|Замена дисплея будет стоить 3000 руб. За день сделаем.|user103@mail.ru
104|100|Евгенний|07.04.2016|Планшет Eplutus 10s.Треснуло стекло.Планшет полностью работоспособен.Сколько стоит ремонт?|Надо принести чтобы подобрать. Примерно 2000 будет стоить сенсорное стекло с работой.|user104@mail.ru
105|100|Вероника|06.04.2016|Добрый день! Подскажите, сколько будет стоить замена(вместе с работой) дисплея, тачскрина и рамки корпуса для LG D722 G3S. Спасибо!|4500. Рамку надо будет поискать.|user105@mail.ru
106|100|Александр|05.04.2016|СмртфонASUS ZenFone 2, хотел починить в СЦ но отказали в гарантии, они выявили 2 проблемы, сквозная трещина рамки матрицы у верхнего микрофона, с материнской платы вырван разъём наушников, во сколько это может обойтись?| |user106@mail.ru
107|100|User|28.03.2016|Интересует стоимость замены тачскрина плюс экрана (деталь в сборе есть) для xiaomi redmi note 2|1200 руб.|user107@mail.ru
108|100|Вадим|24.03.2016|Интересует русификация Motorola Droid turbo 2 ?|по стоимости 1800 руб. пару дней|user108@mail.ru
109|100|Алексей|21.03.2016|Интересует ремонт планшета Prestigio Multipad 3067 3GУ него разбито стекло и не загружается.Подскажите пожалуйста по возможности ремонта и его ориентировочной стоимости|Замена стекла 2400 руб. Не загружается -надо смотреть.|user109@mail.ru
110|110|Мария|18.03.2016|Добрый день! планшет Samsung T 525.. треснуло стекло, в остальном все работает.. сколько будет стоить замена стекла..??| |user110@mail.ru
111|110|Людмила|15.03.2016|Интересует замена микрофона у телефона THL 4400,подскажите по стоимости(работа+запчасти)и по времени|1200. За час.|user111@mail.ru
112|110|Ксения|14.03.2016|Сколько стоит замена разъема питания на Acer?|Смотря что за aser: планшет? телефон, ноутбук?  Модель тоже уточните. От 800 до 1500 если телефон. Если ноутбук то 2000-2500.|user112@mail.ru
113|110|Александр|11.03.2016|Здравствуйте, хотел узнать, сколько будет стоить поменять дисплей на PocketBook 611 ?Сколько времени займет?Офис на Новослободской.|2700. В течении дня сделаем.|user113@mail.ru
114|110|Владимир Иванович|07.03.2016|"Планшет SkyLabs 8 IPS. При подключении через адаптер к сети не заряжается планшет,работает только от сети, мигает табло:;Подключите зарядное устройство. Планшет разряжен"",  разъем (порт)разболтан. Каков ремонт, стоимость ? Спасибо"|От 800 до 1200. Делается за час.|user114@mail.ru
115|110|Ираклий|07.03.2016|Ксяоми ред ми ноут 2. Не видит симкарту. Симка рабочая. Сколько будет стоить замена GSM?|1000-1500. Надо смотреть.|user115@mail.ru
